161 162 183
182 183 204
203 204 225
224 225 246
245 246 267
266 267 288
287 288 309
308 309 330
329 330 351
350 351 372
371 372 393
392 393 414
413 414 435
15 37 36 
36 58 57 
57 79 78 
78 100 99 
99 121 120
120 142 141
141 163 162
162 184 183
183 205 204
204 226 225
225 247 246
246 268 267
267 289 288
288 310 309
309 331 330
330 352 351
351 373 372
372 394 393
393 415 414
414 436 435
15 16 37 
36 37 58 
57 58 79 
78 79 100
99 100 121
120 121 142
141 142 163
162 163 184
183 184 205
204 205 226
225 226 247
246 247 268
267 268 289
288 289 310
309 310 331
330 331 352
351 352 373
372 373 394
393 394 415
414 415 436
16 38 37
37 59 58
58 80 79
79 101 100
100 122 121
121 143 142
142 164 163
163 185 184
184 206 205
205 227 226
226 248 247
247 269 268
268 290 289
289 311 310
310 332 331
331 353 352
352 374 373
373 395 394
394 416 415
415 437 436
16 17 38
37 38 59
58 59 80
79 80 101
100 101 122
121 122 143
142 143 164
163 164 185
184 185 206
205 206 227
226 227 248
247 248 269
268 269 290
289 290 311
310 311 332
331 332 353
352 353 374
373 374 395
394 395 416
415 416 437
17 39 38
38 60 59
59 81 80
80 102 101
101 123 122
122 144 143
143 165 164
164 186 185
185 207 206
206 228 227
227 249 248
248 270 269
269 291 290
290 312 311
311 333 332
332 354 353
353 375 374
374 396 395
395 417 416
416 438 437
17 18 39
38 39 60
59 60 81
80 81 102
101 102 123
122 123 144
143 144 165
164 165 186
185 186 207
206 207 228
227 228 249
248 249 270
269 270 291
290 291 312
311 312 333
332 333 354
353 354 375
374 375 396
395 396 417
416 417 438
18 40 39
39 61 60
60 82 81
81 103 102
102 124 123
123 145 144
144 166 165
165 187 186
186 208 207
207 229 228
228 250 249
249 271 270
270 292 291
291 313 312
312 334 333
333 355 354
354 376 375
375 397 396
396 418 417
417 439 438
18 19 40
39 40 61
60 61 82
81 82 103
102 103 124
123 124 145
144 145 166
165 166 187
186 187 208
207 208 229
228 229 250
249 250 271
270 271 292
291 292 313
312 313 334
333 334 355
354 355 376
375 376 397
396 397 418
417 418 439
19 41 40
40 62 61
61 83 82
82 104 103
103 125 124
124 146 145
145 167 166
166 188 187
187 209 208
208 230 229
229 251 250
250 272 271
271 293 292
292 314 313
313 335 334
334 356 355
355 377 376
376 398 397
397 419 418
418 440 439
19 20 41
40 41 62
61 62 83
82 83 104
103 104 125
124 125 146
145 146 167
166 167 188
187 188 209
208 209 230
229 230 251
250 251 272
271 272 293
292 293 314
313 314 335
334 335 356
355 356 377
376 377 398
397 398 419
418 419 440
20 42 41
41 63 62
62 84 83
83 105 104
104 126 125
125 147 146
146 168 167
167 189 188
188 210 209
209 231 230
230 252 251
251 273 272
272 294 293
293 315 314
314 336 335
335 357 356
356 378 377
377 399 398
398 420 419
419 441 440
20 21 42
41 42 63
62 63 84
83 84 105
104 105 126
125 126 147
146 147 168
167 168 189
188 189 210
209 210 231
230 231 252
251 252 273
272 273 294
293 294 315
314 315 336
335 336 357
356 357 378
377 378 399
398 399 420
419 420 441
140 141 162
